[2025-03-18 18:40:34] User ID: 7404196608, Action: Выбрал длительность 30 мин для Silver, с 09:30
[2025-03-18 18:40:35] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-18 18:40:36] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-18 18:40:40] User ID: 7404196608, Action: Отменил бронь на Silver в 10:00
[2025-03-18 18:40:42] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 08:27:16] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 08:27:16] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 08:27:16] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 08:27:17] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 08:27:17] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 08:27:17] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 08:27:17] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 08:28:02] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-19 08:28:05] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 08:28:07] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 08:28:08] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-19 08:28:10] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 08:28:11] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 09:52:44] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 09:52:46] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 09:52:48] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 09:52:50] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-19 09:52:53] User ID: 7404196608, Action: Выбрал время начала 10:00 для Silver
[2025-03-19 09:52:55] User ID: 7404196608, Action: Выбрал длительность 2 ч для Silver, с 10:00
[2025-03-19 09:52:59] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 09:53:00] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 09:53:01] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 09:53:02] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-19 09:53:11] User ID: 7404196608, Action: Выбрал время начала 09:30 для Silver
[2025-03-19 09:53:15] User ID: 7404196608, Action: Выбрал длительность 30 мин для Silver, с 09:30
[2025-03-19 09:53:17] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 09:53:18] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-19 09:53:20] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 09:54:30] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 09:54:31] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-19 09:54:35] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 09:54:36] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 10:05:48] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-19 10:05:49] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 10:05:49] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 10:06:04] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-19 10:06:05] User ID: 7404196608, Action: Отменил бронь на Silver в 10:00
[2025-03-19 10:06:07] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 10:06:08] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-19 10:06:09] User ID: 7404196608, Action: Отменил бронь на Silver в 09:30
[2025-03-19 10:06:13] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 10:06:14] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 10:06:15] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 10:06:16] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-19 10:06:18] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 10:06:19] User ID: 7404196608, Action: Выбрал здание: Victiana
[2025-03-19 10:06:20] User ID: 7404196608, Action: Выбрал переговорную: Fres
[2025-03-19 10:06:21] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 10:06:22] User ID: 7404196608, Action: Выбрал здание: Victiana
[2025-03-19 10:06:24] User ID: 7404196608, Action: Выбрал переговорную: White
[2025-03-19 10:06:25] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 10:06:26] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 10:06:28] User ID: 7404196608, Action: Выбрал переговорную: Gold
[2025-03-19 10:06:29] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 10:06:31] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 10:06:33] User ID: 7404196608, Action: Выбрал переговорную: Антикамера
[2025-03-19 10:06:35] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 13:29:33] User ID: 7404196608, Action: Вызвана команда /start
[2025-03-19 13:29:34] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 13:29:34] User ID: 7404196608, Action: Выбрал здание: Victiana
[2025-03-19 13:29:34] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 13:29:44] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 13:29:45] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 13:29:47] User ID: 7404196608, Action: Выбрал переговорную: Silver
[2025-03-19 13:29:48] User ID: 7404196608, Action: Выбрал время начала 18:30 для Silver
[2025-03-19 13:29:49] User ID: 7404196608, Action: Выбрал длительность 30 мин для Silver, с 18:30
[2025-03-19 13:29:50] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 13:29:52] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 13:29:53] User ID: 7404196608, Action: Выбрал здание: Videosecurity
[2025-03-19 13:29:54] User ID: 7404196608, Action: Выбрал переговорную: Антикамера
[2025-03-19 13:30:21] User ID: 7404196608, Action: Выбрал переговорную: Fres
[2025-03-19 13:30:22] User ID: 7404196608, Action: Выбрал время начала 16:30 для Fres
[2025-03-19 13:30:22] User ID: 7404196608, Action: Выбрал длительность 1 ч 30 мин для Fres, с 16:30
[2025-03-19 13:30:24] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 13:30:26] User ID: 7404196608, Action: Перешёл к выбору здания
[2025-03-19 13:30:26] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 13:30:27] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-19 13:30:28] User ID: 7404196608, Action: Отменил бронь на Silver в 18:30
[2025-03-19 13:30:29] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 13:30:31] User ID: 7404196608, Action: Нажал кнопку 'Отменить бронь'
[2025-03-19 13:30:33] User ID: 7404196608, Action: Отменил бронь на Fres в 16:30
[2025-03-19 13:30:34] User ID: 8081159733, Action: Вызвана команда /start
[2025-03-19 13:30:35] User ID: 7404196608, Action: Перешёл к выбору здания
